,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Akhalgori,GE,42.126,44.4833,51.94,88,100,4.0,overcast clouds
1,Bjornevatn,NO,69.6672,29.9847,25.14,80,75,12.66,broken clouds
2,Victoria,HK,22.2855,114.1577,82.45,89,100,8.99,overcast clouds
3,Hermanus,ZA,-34.4187,19.2345,59.81,83,41,7.47,scattered clouds
4,Mahebourg,MU,-20.4081,57.7,73.26,73,7,9.55,clear sky
5,Jamestown,US,42.097,-79.2353,44.24,36,0,3.44,clear sky
6,Esperance,AU,-33.8667,121.9,61.05,71,26,9.1,scattered clouds
7,Solnechnyy,RU,50.7214,136.6319,37.96,57,7,5.35,clear sky
8,Torbay,CA,47.6666,-52.7314,39.88,95,100,2.3,overcast clouds
9,Pevek,RU,69.7008,170.3133,18.97,84,100,10.76,overcast clouds
10,Constitucion,CL,-35.3333,-72.4167,53.01,68,67,7.76,broken clouds
11,Atuona,PF,-9.8,-139.0333,79.14,74,100,17.11,overcast clouds
12,Carnarvon,AU,-24.8667,113.6333,75.27,38,0,17.27,clear sky
13,Rikitea,PF,-23.1203,-134.9692,76.96,70,100,17.76,light rain
14,Cape Town,ZA,-33.9258,18.4232,58.12,90,5,3.0,clear sky
15,Vardo,NO,70.3705,31.1107,28.58,71,100,23.47,light snow
16,Sistranda,NO,63.7256,8.834,40.96,73,100,21.61,overcast clouds
17,Hualmay,PE,-11.0964,-77.6139,67.6,85,90,7.56,overcast clouds
18,Saint-Philippe,RE,-21.3585,55.7679,74.79,84,49,15.12,scattered clouds
19,Cherskiy,RU,68.75,161.3,13.69,89,100,7.05,overcast clouds
20,Souillac,MU,-20.5167,57.5167,73.72,78,0,8.88,clear sky
21,Mar Del Plata,AR,-38.0023,-57.5575,49.87,64,19,5.99,few clouds
22,Iqaluit,CA,63.7506,-68.5145,2.5,91,19,4.65,few clouds
23,Arraial Do Cabo,BR,-22.9661,-42.0278,75.88,85,6,6.87,clear sky
24,Upernavik,GL,72.7868,-56.1549,12.36,91,100,34.47,light snow
25,Kruisfontein,ZA,-34.0033,24.7314,58.89,80,29,12.95,scattered clouds
26,Hobart,AU,-42.8794,147.3294,59.05,59,40,16.11,scattered clouds
27,Quatre Cocos,MU,-20.2078,57.7625,73.09,73,12,9.01,few clouds
28,Mataura,NZ,-46.1927,168.8643,64.47,59,90,3.09,overcast clouds
29,Beysehir,TR,37.6773,31.7246,57.65,66,100,5.19,overcast clouds
30,Dobryanka,RU,58.4619,56.4165,29.57,66,0,3.83,clear sky
31,Smoky Lake,CA,54.1169,-112.4686,46.13,55,64,8.14,broken clouds
32,Khatanga,RU,71.9667,102.5,16.43,92,95,14.76,overcast clouds
33,Busselton,AU,-33.65,115.3333,60.22,70,0,4.54,clear sky
34,Saldanha,ZA,-33.0117,17.9442,59.31,83,96,6.96,overcast clouds
35,Port Elizabeth,ZA,-33.918,25.5701,62.31,75,42,11.99,scattered clouds
36,Port Alfred,ZA,-33.5906,26.891,59.18,79,45,7.0,scattered clouds
37,Marawi,PH,7.9986,124.2928,76.55,78,25,4.16,scattered clouds
38,Provideniya,RU,64.3833,-173.3,34.39,91,98,15.01,light snow
39,Nouadhibou,MR,20.931,-17.0347,64.72,84,27,20.31,scattered clouds
40,Lao Cai,VN,22.4833,103.95,80.67,86,94,2.62,overcast clouds
41,Anaco,VE,9.4389,-64.4728,84.11,59,100,10.27,overcast clouds
42,Lompoc,US,34.6391,-120.4579,75.85,65,0,31.0,clear sky
43,Hofn,IS,64.2539,-15.2082,46.45,70,12,3.87,few clouds
44,Nhulunbuy,AU,-12.2333,136.7667,88.41,62,75,12.66,broken clouds
45,Geraldton,AU,-28.7667,114.6,64.81,55,0,17.27,clear sky
46,Tiksi,RU,71.6872,128.8694,27.91,78,100,12.12,overcast clouds
47,Kaitangata,NZ,-46.2817,169.8464,59.68,60,92,2.53,overcast clouds
48,Samarai,PG,-10.6167,150.6667,84.04,72,28,8.08,scattered clouds
49,Awbari,LY,26.5921,12.7805,75.04,19,0,10.38,clear sky
50,Carauari,BR,-4.8828,-66.8958,72.28,99,100,1.92,overcast clouds
51,Semirom,IR,31.4167,51.5667,45.86,87,100,1.14,light rain
52,Nemuro,JP,43.3236,145.575,41.56,56,44,17.63,scattered clouds
53,High Level,CA,58.5169,-117.136,41.63,78,99,3.04,overcast clouds
54,Codrington,AU,-38.2667,141.9667,59.94,56,96,18.5,overcast clouds
55,Poya,NC,-21.35,165.15,79.16,64,40,7.31,scattered clouds
56,Punta Arenas,CL,-53.15,-70.9167,32.11,86,0,3.44,clear sky
57,Kapaa,US,22.0752,-159.319,82.38,80,40,16.11,scattered clouds
58,Ahipara,NZ,-35.1667,173.1667,68.95,61,24,9.89,few clouds
59,Georgetown,MY,5.4112,100.3354,82.33,83,20,2.3,few clouds
60,Wewak,PG,-3.5534,143.6268,83.1,76,75,2.68,broken clouds
61,Hambantota,LK,6.1241,81.1185,81.14,85,32,10.67,scattered clouds
62,Qaanaaq,GL,77.484,-69.3632,8.2,70,19,6.4,few clouds
63,Maarianhamina,AX,60.0973,19.9348,35.46,93,0,4.61,clear sky
64,Beringovskiy,RU,63.05,179.3167,32.34,97,100,15.21,light snow
65,Rabaul,PG,-4.1967,152.1721,82.85,69,100,4.92,overcast clouds
66,Bredasdorp,ZA,-34.5322,20.0403,55.6,85,29,7.78,scattered clouds
67,Nishihara,JP,26.1842,127.7558,73.45,76,100,10.36,overcast clouds
68,Ushuaia,AR,-54.8,-68.3,34.9,93,44,1.59,scattered clouds
69,Thompson,CA,55.7435,-97.8558,42.37,85,100,2.01,overcast clouds
70,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,92,75,11.5,broken clouds
71,Bluff,NZ,-46.6,168.3333,64.8,71,99,7.78,overcast clouds
72,Lavrentiya,RU,65.5833,-171.0,32.63,93,98,7.34,overcast clouds
73,Cap Malheureux,MU,-19.9842,57.6142,73.47,75,6,1.01,clear sky
74,Tuktoyaktuk,CA,69.4541,-133.0374,32.65,85,99,11.39,overcast clouds
75,Tecoanapa,MX,16.5167,-98.75,82.0,67,0,8.43,clear sky
76,Vao,NC,-22.6667,167.4833,72.9,80,100,24.52,overcast clouds
77,Vagay,RU,57.9375,69.0217,31.08,72,5,6.06,clear sky
78,Coquimbo,CL,-29.9533,-71.3436,56.93,88,100,3.44,overcast clouds
79,Husavik,IS,66.0449,-17.3389,44.24,77,34,4.76,scattered clouds
80,Cedar City,US,37.6775,-113.0619,58.39,18,0,9.22,clear sky
81,Srednekolymsk,RU,67.45,153.6833,20.25,77,97,3.06,overcast clouds
82,Tura,IN,25.5198,90.2201,71.17,89,94,2.01,overcast clouds
83,Genhe,CN,50.7833,121.5167,38.43,38,11,8.81,few clouds
84,Teluknaga,ID,-6.0989,106.6381,88.18,94,20,3.44,few clouds
85,Mareeba,AU,-17.0,145.4333,76.48,87,88,7.07,overcast clouds
86,Bilma,NE,18.6853,12.9164,86.27,6,41,5.91,scattered clouds
87,Port Moresby,PG,-9.4431,147.1797,83.84,69,100,8.7,overcast clouds
88,Caravelas,BR,-17.7125,-39.2481,74.52,83,0,2.75,clear sky
89,Chuy,UY,-33.6971,-53.4616,51.28,75,14,3.56,few clouds
90,Faanui,PF,-16.4833,-151.75,81.01,73,18,17.07,light rain
91,Yellowknife,CA,62.456,-114.3525,35.56,51,11,5.99,few clouds
92,Ulladulla,AU,-35.35,150.4667,64.76,72,100,8.3,light rain
93,Yuanping,CN,38.7153,112.7575,50.52,15,100,13.6,overcast clouds
94,Kodiak,US,57.79,-152.4072,42.31,81,100,31.07,light rain
95,Albany,US,42.6001,-73.9662,48.88,29,0,9.6,clear sky
96,Butaritari,KI,3.0707,172.7902,81.43,76,68,10.65,broken clouds
97,Hilo,US,19.7297,-155.09,80.28,82,75,12.66,broken clouds
98,Zabid,YE,14.1951,43.3152,81.79,78,13,4.03,few clouds
99,Susanville,US,40.4163,-120.653,67.66,28,0,7.0,clear sky
100,Pacific Grove,US,36.6177,-121.9166,69.89,63,0,9.22,clear sky
101,Sitka,US,57.0531,-135.33,49.89,62,75,4.61,broken clouds
102,Saskylakh,RU,71.9167,114.0833,33.84,100,100,8.55,overcast clouds
103,Chokurdakh,RU,70.6333,147.9167,18.32,90,16,10.02,few clouds
